PER/DCOMP;Tipo de documento;Data de transmissão;Situação;Vl. Total Crédito;Vl. Crédito Dt. Transmissão;Créd. Orig. Necessário Débitos DCOMP ou Valor do PER;Retificado/Cancelado por;Detalhado em PER/DCOMP Anterior;PER/DCOMP inicial
37411.29218.251019.1.3.02-8019;Decl. Compensação;25/10/2019;Análise concluída;1.553.352,62;1.553.352,62;17.699,51;;;37411.29218.251019.1.3.02-8019
23957.95160.251119.1.3.02-4122;Decl. Compensação;25/11/2019;Análise concluída;1.553.352,62;1.535.653,11;420.203,19;;37411.29218.251019.1.3.02-8019;37411.29218.251019.1.3.02-8019
18741.04520.201219.1.3.02-0351;Decl. Compensação;20/12/2019;Análise concluída;1.553.352,62;1.115.449,92;721.005,33;;37411.29218.251019.1.3.02-8019;37411.29218.251019.1.3.02-8019
10972.74386.240120.1.3.02-1402;Decl. Compensação;24/01/2020;Análise concluída;1.553.352,62;394.444,59;394.444,59;;37411.29218.251019.1.3.02-8019;37411.29218.251019.1.3.02-8019
20536.54538.240120.1.3.03-9310;Decl. Compensação;24/01/2020;Em discussão administrativa - DRJ;304.279,57;304.279,57;67.309,85;;;20536.54538.240120.1.3.03-9310
09509.98913.200220.1.3.03-0012;Decl. Compensação;20/02/2020;Despacho Decisório Emitido;304.279,57;236.969,72;137.655,53;;20536.54538.240120.1.3.03-9310;20536.54538.240120.1.3.03-9310
08787.44338.250320.1.3.03-3369;Decl. Compensação;25/03/2020;Despacho Decisório Emitido;304.279,57;99.314,19;99.314,19;;20536.54538.240120.1.3.03-9310;20536.54538.240120.1.3.03-9310
27085.88494.240120.1.3.03-7634;Decl. Compensação;24/01/2020;Em discussão administrativa - DRJ;265.363,65;265.363,65;265.363,65;;;27085.88494.240120.1.3.03-7634
20377.11571.250320.1.3.03-7793;Decl. Compensação;25/03/2020;Análise concluída;265.795,63;265.795,63;165.052,73;;;20377.11571.250320.1.3.03-7793
21167.73862.240420.1.3.03-7456;Decl. Compensação;24/04/2020;Retificado;265.795,63;100.742,90;100.742,90;08952.52610.050620.1.7.03-3083;20377.11571.250320.1.3.03-7793;20377.11571.250320.1.3.03-7793
08952.52610.050620.1.7.03-3083;Decl. Compensação;05/06/2020;Análise concluída;265.795,63;100.742,90;100.742,90;;20377.11571.250320.1.3.03-7793;20377.11571.250320.1.3.03-7793
18840.78898.300418.1.3.03-7960;Decl. Compensação;30/04/2018;Homologado;281.773,72;281.773,72;109.954,69;;;18840.78898.300418.1.3.03-7960
19714.97823.181220.1.3.03-1640;Decl. Compensação;18/12/2020;Homologado;281.773,72;171.819,03;62.304,80;;18840.78898.300418.1.3.03-7960;18840.78898.300418.1.3.03-7960
35600.23453.221220.1.3.03-7180;Decl. Compensação;22/12/2020;Retificado;281.773,72;171.819,03;96.889,19;27911.76163.231220.1.7.03-5401;18840.78898.300418.1.3.03-7960;18840.78898.300418.1.3.03-7960
27911.76163.231220.1.7.03-5401;Decl. Compensação;23/12/2020;Homologado;281.773,72;109.514,23;96.889,19;;18840.78898.300418.1.3.03-7960;18840.78898.300418.1.3.03-7960
16542.40990.250121.1.3.03-6738;Decl. Compensação;25/01/2021;Homologado;281.773,72;12.625,04;12.625,04;;35600.23453.221220.1.3.03-7180;18840.78898.300418.1.3.03-7960
18686.59985.181220.1.3.02-7061;Decl. Compensação;18/12/2020;Retificado;808.268,76;808.268,76;414.806,67;10572.51571.251122.1.7.02-3559;;18686.59985.181220.1.3.02-7061
10572.51571.251122.1.7.02-3559;Decl. Compensação;25/11/2022;Em análise;1.003.285,99;1.003.285,99;414.806,67;;;18686.59985.181220.1.3.02-7061
41882.90461.301220.1.3.02-0111;Decl. Compensação;30/12/2020;Retificado;808.268,76;393.462,09;72.049,04;18985.48300.281122.1.7.02-1558;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
18985.48300.281122.1.7.02-1558;Decl. Compensação;28/11/2022;Em análise;1.003.285,99;588.479,32;72.049,04;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
14064.00592.060121.1.3.02-6954;Decl. Compensação;06/01/2021;Retificado;808.268,76;321.413,05;117.916,09;40484.87367.281122.1.7.02-9748;41882.90461.301220.1.3.02-0111;18686.59985.181220.1.3.02-7061
40484.87367.281122.1.7.02-9748;Decl. Compensação;28/11/2022;Em análise;1.003.285,99;516.430,28;117.916,09;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
39154.02505.160221.1.3.02-0996;Decl. Compensação;16/02/2021;Retificado;808.268,76;203.496,96;177.261,80;08058.80521.281122.1.7.02-0964;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
08058.80521.281122.1.7.02-0964;Decl. Compensação;28/11/2022;Em análise;1.003.285,99;398.514,19;177.261,80;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
14846.74891.180221.1.3.02-7760;Decl. Compensação;18/02/2021;Retificado;808.268,76;26.235,16;4.295,95;06869.45615.281122.1.7.02-6080;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
06869.45615.281122.1.7.02-6080;Decl. Compensação;28/11/2022;Em análise;1.003.285,99;221.252,39;4.295,95;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
39271.27115.250221.1.3.02-5803;Decl. Compensação;25/02/2021;Retificado;808.268,76;21.939,21;21.939,21;27649.61890.281122.1.7.02-7203;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
27649.61890.281122.1.7.02-7203;Decl. Compensação;28/11/2022;Em análise;1.003.285,99;216.956,44;21.939,21;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
30019.20705.281122.1.3.02-3503;Decl. Compensação;28/11/2022;Em análise;1.003.285,99;195.017,23;193.097,40;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
18738.29472.291122.1.2.02-5253;Pedido Restituição;29/11/2022;Em análise;1.003.285,99;1.919,83;1.919,83;;18686.59985.181220.1.3.02-7061;18686.59985.181220.1.3.02-7061
05057.19619.200121.1.3.02-4061;Decl. Compensação;20/01/2021;Em análise;1.254.497,75;1.254.497,75;632.036,99;;;05057.19619.200121.1.3.02-4061
39694.99741.200121.1.3.02-9278;Decl. Compensação;20/01/2021;Em análise;1.254.497,75;622.460,76;127.161,02;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
24888.30282.250121.1.3.02-5519;Decl. Compensação;25/01/2021;Em análise;1.254.497,75;495.299,74;249.219,57;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
13176.56352.170321.1.3.02-3100;Decl. Compensação;17/03/2021;Em análise;1.254.497,75;246.080,17;54.143,51;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
12568.08958.170321.1.3.02-2060;Decl. Compensação;17/03/2021;Em análise;1.254.497,75;191.936,66;77.190,69;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
03313.51650.250321.1.3.02-8248;Decl. Compensação;25/03/2021;Em análise;1.254.497,75;114.745,97;24.590,56;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
22367.32637.160421.1.3.02-1690;Decl. Compensação;16/04/2021;Em análise;1.254.497,75;90.155,41;40.150,16;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
02415.40923.160421.1.3.02-0489;Decl. Compensação;16/04/2021;Em análise;1.254.497,75;50.005,25;50.005,25;;05057.19619.200121.1.3.02-4061;05057.19619.200121.1.3.02-4061
08307.51972.231020.1.3.03-0623;Decl. Compensação;23/10/2020;Análise concluída;321.060,89;321.060,89;84.672,71;;;08307.51972.231020.1.3.03-0623
27111.23424.251120.1.3.03-0485;Decl. Compensação;25/11/2020;Análise concluída;321.060,89;236.388,18;161.862,90;;08307.51972.231020.1.3.03-0623;08307.51972.231020.1.3.03-0623
23725.86504.221220.1.3.03-0557;Decl. Compensação;22/12/2020;Análise concluída;321.060,89;74.525,28;52.030,53;;08307.51972.231020.1.3.03-0623;08307.51972.231020.1.3.03-0623
21807.37728.250121.1.3.03-0009;Decl. Compensação;25/01/2021;Análise concluída;321.060,89;22.494,75;22.494,75;;08307.51972.231020.1.3.03-0623;08307.51972.231020.1.3.03-0623
07546.24177.180221.1.3.04-6406;Decl. Compensação;18/02/2021;Em análise;64.523,17;64.523,17;64.523,17;;;07546.24177.180221.1.3.04-6406
15874.23711.250221.1.3.02-3274;Decl. Compensação;25/02/2021;Em análise;793.796,49;793.796,49;88.369,80;;;15874.23711.250221.1.3.02-3274
24006.92315.160421.1.3.02-0200;Decl. Compensação;16/04/2021;Em análise;793.796,49;705.426,69;21.659,74;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
12680.23344.230421.1.3.02-4241;Decl. Compensação;23/04/2021;Em análise;793.796,49;683.766,95;147.154,17;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
29373.90965.280421.1.3.02-8974;Decl. Compensação;28/04/2021;Retificado;793.796,49;536.612,78;60.295,71;10687.62873.120521.1.7.02-1114;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
10687.62873.120521.1.7.02-1114;Decl. Compensação;12/05/2021;Em análise;793.796,45;536.612,78;60.295,71;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
16378.38440.170521.1.3.02-3128;Decl. Compensação;17/05/2021;Em análise;793.796,49;476.317,07;34.316,26;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
05025.79393.170521.1.3.02-6872;Decl. Compensação;17/05/2021;Em análise;793.796,49;442.000,81;72.693,91;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
02835.55577.250521.1.3.02-9057;Decl. Compensação;25/05/2021;Em análise;793.796,49;369.306,90;78.029,06;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
29448.68729.160621.1.3.02-0801;Decl. Compensação;16/06/2021;Em análise;793.796,49;291.277,84;71.489,68;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
05234.67621.160621.1.3.02-5081;Decl. Compensação;16/06/2021;Em análise;793.796,49;219.788,16;47.744,86;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
40898.78048.250621.1.3.02-9195;Decl. Compensação;25/06/2021;Em análise;793.796,49;172.043,30;172.043,30;;15874.23711.250221.1.3.02-3274;15874.23711.250221.1.3.02-3274
09149.26758.250621.1.3.03-9508;Decl. Compensação;25/06/2021;Em análise;139.220,06;139.220,06;105.682,70;;;09149.26758.250621.1.3.03-9508
23492.94236.160721.1.3.03-6666;Decl. Compensação;16/07/2021;Em análise;139.220,06;33.537,36;16.885,00;;09149.26758.250621.1.3.03-9508;09149.26758.250621.1.3.03-9508
16657.92989.230721.1.3.03-9122;Decl. Compensação;23/07/2021;Em análise;139.220,06;16.652,36;16.652,36;;09149.26758.250621.1.3.03-9508;09149.26758.250621.1.3.03-9508
14345.56753.150721.1.2.03-7905;Pedido Restituição;15/07/2021;Cancelado;112.824,25;112.824,25;112.824,25;11516.03612.160721.1.8.03-9701;;14345.56753.150721.1.2.03-7905
11516.03612.160721.1.8.03-9701;Pedido Cancelamento;16/07/2021;Pedido de cancelamento deferido;0,00;0,00;0,00;;;14345.56753.150721.1.2.03-7905
27163.73096.160721.1.2.03-5543;Pedido Restituição;16/07/2021;Retificado;112.824,25;112.824,25;112.824,25;41622.88590.230323.1.6.03-0453;;27163.73096.160721.1.2.03-5543
41622.88590.230323.1.6.03-0453;Pedido Restituição;23/03/2023;Análise concluída;112.835,00;112.835,00;112.835,00;;;27163.73096.160721.1.2.03-5543
41543.32262.160721.1.3.03-7382;Decl. Compensação;16/07/2021;Retificado;112.824,25;112.824,25;72.698,19;18744.68757.240323.1.7.03-1008;27163.73096.160721.1.2.03-5543;27163.73096.160721.1.2.03-5543
18744.68757.240323.1.7.03-1008;Decl. Compensação;24/03/2023;Análise concluída;112.835,00;112.835,00;72.698,19;;27163.73096.160721.1.2.03-5543;27163.73096.160721.1.2.03-5543
22472.50600.230721.1.3.03-7068;Decl. Compensação;23/07/2021;Retificado;112.824,25;40.126,06;40.126,06;34810.01984.240323.1.7.03-7018;27163.73096.160721.1.2.03-5543;27163.73096.160721.1.2.03-5543
